GAME_ID,TEAM_ID,TOTAL_PTS,TOTAL_REB,TOTAL_AST,TOTAL_STL,TOTAL_BLK,TOTAL_TO,TOTAL_PF,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,IS_HOME,TEAM_WON
10700068,1610612741.0,82.0,34.0,17.0,5.0,3.0,23.0,19.0,1610612761,1610612741,1,0,0
10700068,1610612761.0,92.0,32.0,22.0,15.0,4.0,16.0,27.0,1610612761,1610612741,1,1,1
10700069,1610612750.0,113.0,58.0,23.0,14.0,6.0,23.0,30.0,1610612754,1610612750,0,0,1
10700069,1610612754.0,110.0,62.0,23.0,10.0,7.0,20.0,33.0,1610612754,1610612750,0,1,0
10700070,1610612757.0,101.0,45.0,16.0,4.0,4.0,19.0,20.0,1610612757,1610612758,1,1,1
10700070,1610612758.0,77.0,43.0,12.0,12.0,3.0,14.0,26.0,1610612757,1610612758,1,0,0
10700072,1610612738.0,36.0,18.0,8.0,5.0,2.0,12.0,20.0,1610612738,1610612751,1,1,1
10700072,1610612751.0,33.0,19.0,7.0,3.0,1.0,11.0,13.0,1610612738,1610612751,1,0,0
10700073,1610612740.0,92.0,52.0,13.0,8.0,2.0,21.0,24.0,1610612748,1610612740,0,0,1
10700073,1610612748.0,85.0,34.0,13.0,8.0,7.0,19.0,21.0,1610612748,1610612740,0,1,0
10700074,1610612742.0,122.0,49.0,26.0,9.0,0.0,10.0,29.0,1610612742,1610612765,1,1,1
10700074,1610612765.0,94.0,33.0,13.0,6.0,8.0,13.0,17.0,1610612742,1610612765,1,0,0
10700075,1610612739.0,84.0,42.0,19.0,7.0,2.0,15.0,25.0,1610612753,1610612739,1,0,0
10700075,1610612753.0,100.0,35.0,21.0,9.0,3.0,15.0,16.0,1610612753,1610612739,1,1,1
10700076,1610612746.0,110.0,42.0,29.0,10.0,6.0,18.0,29.0,1610612746,1610612756,1,1,1
10700076,1610612756.0,103.0,36.0,25.0,7.0,0.0,16.0,27.0,1610612746,1610612756,1,0,0
10700077,1610612748.0,98.0,41.0,18.0,3.0,6.0,13.0,24.0,1610612763,1610612748,1,0,0
10700077,1610612763.0,104.0,44.0,21.0,5.0,6.0,17.0,17.0,1610612763,1610612748,1,1,1
10700078,1610612745.0,117.0,40.0,28.0,8.0,4.0,14.0,25.0,1610612760,1610612745,0,0,1
10700078,1610612760.0,94.0,46.0,21.0,8.0,2.0,18.0,31.0,1610612760,1610612745,0,1,0
10700079,1610612738.0,78.0,38.0,15.0,7.0,2.0,14.0,27.0,1610612738,1610612755,0,1,0
10700079,1610612755.0,96.0,39.0,21.0,7.0,2.0,17.0,22.0,1610612738,1610612755,0,0,1
10700080,1610612741.0,100.0,42.0,29.0,14.0,6.0,31.0,31.0,1610612741,1610612754,1,1,1
10700080,1610612754.0,88.0,36.0,21.0,14.0,1.0,30.0,28.0,1610612741,1610612754,1,0,0
10700081,1610612749.0,106.0,48.0,24.0,5.0,4.0,16.0,25.0,1610612749,1610612750,1,1,1
10700081,1610612750.0,97.0,37.0,22.0,9.0,2.0,20.0,30.0,1610612749,1610612750,1,0,0
10700082,1610612759.0,104.0,45.0,28.0,7.0,5.0,18.0,21.0,1610612759,1610612765,1,1,1
10700082,1610612765.0,80.0,41.0,13.0,7.0,4.0,12.0,17.0,1610612759,1610612765,1,0,0
10700083,1610612747.0,113.0,48.0,35.0,11.0,8.0,21.0,26.0,1610612747,1610612766,1,1,1
